country	year	low	high	width	share	cumul	# sptinc992j
MY	2014	0.00000	0.01000	0.01000	0.00093	0.00093
MY	2014	0.01000	0.02000	0.01000	0.00129	0.00222
MY	2014	0.02000	0.03000	0.01000	0.00148	0.00370
MY	2014	0.03000	0.04000	0.01000	0.00165	0.00535
MY	2014	0.04000	0.05000	0.01000	0.00180	0.00715
MY	2014	0.05000	0.06000	0.01000	0.00193	0.00908
MY	2014	0.06000	0.07000	0.01000	0.00205	0.01113
MY	2014	0.07000	0.08000	0.01000	0.00217	0.01330
MY	2014	0.08000	0.09000	0.01000	0.00227	0.01557
MY	2014	0.09000	0.10000	0.01000	0.00237	0.01794
MY	2014	0.10000	0.11000	0.01000	0.00247	0.02041
MY	2014	0.11000	0.12000	0.01000	0.00257	0.02298
MY	2014	0.12000	0.13000	0.01000	0.00267	0.02565
MY	2014	0.13000	0.14000	0.01000	0.00277	0.02842
MY	2014	0.14000	0.15000	0.01000	0.00286	0.03128
MY	2014	0.15000	0.16000	0.01000	0.00295	0.03423
MY	2014	0.16000	0.17000	0.01000	0.00304	0.03728
MY	2014	0.17000	0.18000	0.01000	0.00314	0.04041
MY	2014	0.18000	0.19000	0.01000	0.00323	0.04364
MY	2014	0.19000	0.20000	0.01000	0.00332	0.04696
MY	2014	0.20000	0.21000	0.01000	0.00341	0.05037
MY	2014	0.21000	0.22000	0.01000	0.00350	0.05387
MY	2014	0.22000	0.23000	0.01000	0.00359	0.05746
MY	2014	0.23000	0.24000	0.01000	0.00368	0.06114
MY	2014	0.24000	0.25000	0.01000	0.00377	0.06491
MY	2014	0.25000	0.26000	0.01000	0.00387	0.06878
MY	2014	0.26000	0.27000	0.01000	0.00396	0.07274
MY	2014	0.27000	0.28000	0.01000	0.00404	0.07678
MY	2014	0.28000	0.29000	0.01000	0.00413	0.08091
MY	2014	0.29000	0.30000	0.01000	0.00423	0.08514
MY	2014	0.30000	0.31000	0.01000	0.00432	0.08946
MY	2014	0.31000	0.32000	0.01000	0.00441	0.09388
MY	2014	0.32000	0.33000	0.01000	0.00450	0.09838
